mutation,day,mouse,tissue,cell_type,kimura_p,kimura_b,p.value
m.5019,P6,Mouse 1,Brain,ACSA-1 & PROM +ve,0.704,0.956,0.739
m.5019,P6,Mouse 1,Brain,ACSA-1 +ve,0.673,0.93,0.37
m.5019,P6,Mouse 1,Spleen,CD19 -ve,0.643,0.958,0.788
m.5019,P6,Mouse 1,Spleen,CD19 +ve,0.643,0.942,0.958
m.5019,P6,Mouse 2,Brain,ACSA-1 & PROM +ve,0.742,0.97,0.686
m.5019,P6,Mouse 2,Brain,ACSA-1 +ve,0.739,0.972,0.632
m.5019,P6,Mouse 2,Spleen,CD19 -ve,0.712,0.95,0.889
m.5019,P6,Mouse 2,Spleen,CD19 +ve,0.678,0.941,0.947
m.5019,P6,Mouse 3,Brain,ACSA-1 & PROM +ve,0.725,0.972,0.793
m.5019,P6,Mouse 3,Brain,ACSA-1 +ve,0.724,0.968,0.769
m.5019,P6,Mouse 3,Spleen,CD19 -ve,0.662,0.876,0.849
m.5019,P6,Mouse 3,Spleen,CD19 +ve,0.643,0.908,0.167
m.5024,E8.5,Embryo 1,Unknown,Unknown,0.608,0.978,0.661
m.5024,E8.5,Embryo 2,Unknown,Unknown,0.484,0.979,0.667
m.5024,E8.5,Embryo 3,Unknown,Unknown,0.567,0.979,0.783
m.5024,P0,Mouse 1,Brain,ACSA-1 & PROM +ve,0.468,0.908,0.961
m.5024,P0,Mouse 1,Brain,ACSA-1 +ve,0.466,0.694,0.788
m.5024,P0,Mouse 1,Spleen,CD19 -ve,0.411,0.801,0.819
m.5024,P0,Mouse 1,Spleen,CD19 +ve,0.421,0.866,0.909
m.5024,P0,Mouse 2,Brain,ACSA-1 & PROM +ve,0.617,0.93,0.866
m.5024,P0,Mouse 2,Brain,ACSA-1 +ve,0.571,0.867,0.959
m.5024,P0,Mouse 2,Spleen,CD19 -ve,0.548,0.882,0.433
m.5024,P0,Mouse 2,Spleen,CD19 +ve,0.483,0.826,0.805
m.5024,P0,Mouse 3,Brain,ACSA-1 & PROM +ve,0.579,0.931,0.705
m.5024,P0,Mouse 3,Brain,ACSA-1 +ve,0.618,0.874,0.749
m.5024,P0,Mouse 3,Spleen,CD19 -ve,0.48,0.823,0.629
m.5024,P0,Mouse 3,Spleen,CD19 +ve,0.476,0.86,0.727
m.5024,P100,Mouse 1,Brain,ACSA-1 +ve,0.513,0.808,0.844
m.5024,P100,Mouse 1,Spleen,CD19 -ve,0.482,0.867,0.683
m.5024,P100,Mouse 1,Spleen,CD19 +ve,0.429,0.74,0.352
m.5024,P100,Mouse 1,Brain,PSD95 +ve,0.546,0.799,0.423
m.5024,P100,Mouse 2,Brain,ACSA-1 +ve,0.58,0.722,0.891
m.5024,P100,Mouse 2,Spleen,CD19 -ve,0.554,0.823,0.748
m.5024,P100,Mouse 2,Spleen,CD19 +ve,0.587,0.789,0.567
m.5024,P100,Mouse 2,Brain,PSD95 +ve,0.652,0.853,0.948
m.5024,P100,Mouse 3,Brain,ACSA-1 +ve,0.493,0.733,0.959
m.5024,P100,Mouse 3,Spleen,CD19 -ve,0.461,0.813,0.748
m.5024,P100,Mouse 3,Spleen,CD19 +ve,0.456,0.817,0.74
m.5024,P100,Mouse 3,Brain,PSD95 +ve,0.593,0.806,0.959
m.5024,P365,Mouse 1,Brain,ACSA-1 +ve,0.39,0.533,0.849
m.5024,P365,Mouse 1,Spleen,CD19 -ve,0.419,0.702,0.756
m.5024,P365,Mouse 1,Spleen,CD19 +ve,0.356,0.661,0.825
m.5024,P365,Mouse 1,Brain,PSD95 +ve,0.451,0.671,0.924
m.5024,P365,Mouse 2,Brain,ACSA-1 +ve,0.588,0.541,0.239
m.5024,P365,Mouse 2,Spleen,CD19 -ve,0.472,0.644,0.918
m.5024,P365,Mouse 2,Spleen,CD19 +ve,0.402,0.72,0.997
m.5024,P365,Mouse 2,Brain,PSD95 +ve,0.546,0.621,0.603
m.5024,P365,Mouse 3,Brain,ACSA-1 +ve,0.519,0.715,0.95
m.5024,P365,Mouse 3,Spleen,CD19 -ve,0.454,0.732,0.26
m.5024,P365,Mouse 3,Spleen,CD19 +ve,0.419,0.748,0.965
m.5024,P365,Mouse 3,Brain,PSD95 +ve,0.487,0.69,0.977
m.5024,P6,Mouse 1,Brain,ACSA-1 & PROM +ve,0.648,0.879,0.43
m.5024,P6,Mouse 1,Brain,ACSA-1 +ve,0.609,0.854,0.366
m.5024,P6,Mouse 1,Spleen,CD19 -ve,0.529,0.895,0.958
m.5024,P6,Mouse 1,Spleen,CD19 +ve,0.642,0.899,0.926
m.5024,P6,Mouse 2,Brain,ACSA-1 & PROM +ve,0.608,0.927,0.529
m.5024,P6,Mouse 2,Brain,ACSA-1 +ve,0.557,0.897,0.529
m.5024,P6,Mouse 2,Spleen,CD19 -ve,0.549,0.906,0.954
m.5024,P6,Mouse 2,Spleen,CD19 +ve,0.566,0.891,0.67
m.5024,P6,Mouse 3,Brain,ACSA-1 & PROM +ve,0.552,0.916,0.364
m.5024,P6,Mouse 3,Brain,ACSA-1 +ve,0.636,0.898,0.995
m.5024,P6,Mouse 3,Spleen,CD19 -ve,0.508,0.926,0.975
m.5024,P6,Mouse 3,Spleen,CD19 +ve,0.56,0.915,0.963
